Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1519423200.0 122.0 57 78 240 NA 121 362 374 NA 1192 595 3030 NA 984 2541 4223 NA
1519423200.0 126.0 65 88 254 NA 157 362 370 NA 1505 567 2699 NA 1040 1227 3617 NA
1519423200.0 136.7803 NA 90 NA NA NA 164 NA NA NA 1436 NA NA NA 1912 NA NA
1519423200.0 4.28 NA 68 273 0 NA 134 375 0 NA 1704 6144 6067 NA 4157 11519 8492
1519423200.0 554.0 18 36 0 NA 149 90 0 NA 2602 414 180 NA 3664 675 268 NA
