Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520722800.0 1.0 74 80 131 NA NA NA NA NA 154 198 216 NA NA NA NA NA 1346 327 221 NA NA NA NA NA 683 197 219 NA NA NA NA NA
1520722800.0 10.0 NA 104 398 0 NA NA NA NA NA 226 475 0 NA NA NA NA NA 2266 1849 438 NA NA NA NA NA 733 782 449 NA NA NA NA
1520722800.0 1000.0 NA 366 130 0 47 NA NA NA NA 443 188 0 82 NA NA NA NA 1985 840 376 133 NA NA NA NA 864 479 393 121 NA NA NA
1520722800.0 1001.0 NA 350 198 0 0 0 0 0 NA 420 247 0 0 0 0 0 NA 1708 381 4 24 241 16 258 NA 816 353 15 32 246 22 245
1520722800.0 1002.0 NA 340 65 NA NA NA NA NA NA 429 104 NA NA NA NA NA NA 1673 330 NA NA NA NA NA NA 748 109 NA NA NA NA NA
1520722800.0 10021.0 NA 199 468 89 0 NA NA NA NA 317 582 124 0 NA NA NA NA 964 1457 81 897 NA NA NA NA 742 1431 112 922 NA NA NA
1520722800.0 10023.0 NA 205 461 87 0 NA NA NA NA 295 582 122 0 NA NA NA NA 581 1348 81 914 NA NA NA NA 435 1302 111 926 NA NA NA
1520722800.0 10024.0 NA 204 489 88 0 NA NA NA NA 345 584 124 0 NA NA NA NA 677 1520 79 923 NA NA NA NA 454 1310 112 945 NA NA NA
1520722800.0 10024.1 NA 203 316 0 NA NA NA NA NA 330 401 0 NA NA NA NA NA 739 433 324 NA NA NA NA NA 454 364 333 NA NA NA NA
1520722800.0 10024.2 NA 207 474 0 NA NA NA NA NA 346 592 0 NA NA NA NA NA 733 1674 1001 NA NA NA NA NA 549 1442 1024 NA NA NA NA
1520722800.0 10024.3 NA 211 288 0 NA NA NA NA NA 338 384 0 NA NA NA NA NA 708 402 286 NA NA NA NA NA 578 319 296 NA NA NA NA
1520722800.0 10024.4 NA 216 472 0 NA NA NA NA NA 346 583 0 NA NA NA NA NA 735 1570 932 NA NA NA NA NA 452 1359 948 NA NA NA NA
1520722800.0 10024.5 NA 204 272 0 NA NA NA NA NA 346 366 0 NA NA NA NA NA 696 386 283 NA NA NA NA NA 619 324 290 NA NA NA NA
1520722800.0 10025.0 NA 204 475 87 0 NA NA NA NA 319 589 123 0 NA NA NA NA 606 1401 85 963 NA NA NA NA 439 1359 125 986 NA NA NA
1520722800.0 10026.0 NA 213 488 86 0 NA NA NA NA 350 593 124 0 NA NA NA NA 878 1635 83 925 NA NA NA NA 508 1356 117 951 NA NA NA
1520722800.0 1003.0 NA 283 0 NA NA NA NA NA NA 361 0 NA NA NA NA NA NA 2245 220 NA NA NA NA NA NA 945 228 NA NA NA NA NA
1520722800.0 1004.0 NA 362 140 0 0 0 0 NA NA 452 182 0 0 0 0 NA NA 552 149 4 17 268 193 NA NA 429 162 20 21 272 235 NA
1520722800.0 101.0 90 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 727 NA NA NA NA NA NA NA 739 NA NA NA NA NA NA NA
1520722800.0 102.0 82 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 558 NA NA NA NA NA NA NA 585 NA NA NA NA NA NA NA
1520722800.0 10224.0 NA 326 743 0 NA NA NA NA NA 452 905 0 NA NA NA NA NA 3054 4070 974 NA NA NA NA NA 1316 2032 990 NA NA NA NA
1520722800.0 10225.0 NA 310 724 0 NA NA NA NA NA 429 889 0 NA NA NA NA NA 3361 3864 998 NA NA NA NA NA 2011 2189 1023 NA NA NA NA
1520722800.0 103.0 42 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 276 107 234 NA NA NA NA NA 289 128 265 NA NA NA NA NA
1520722800.0 10424.0 NA 203 476 0 NA NA NA NA NA 341 593 0 NA NA NA NA NA 718 1619 979 NA NA NA NA NA 562 1602 1096 NA NA NA NA
1520722800.0 105.0 76 91 27 NA NA NA NA NA 152 187 59 NA NA NA NA NA 1319 346 2 NA NA NA NA NA 660 214 14 NA NA NA NA NA
1520722800.0 106.0 34 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 277 103 233 NA NA NA NA NA 282 111 261 NA NA NA NA NA
1520722800.0 107.0 78 100 381 NA NA NA NA NA 167 208 457 NA NA NA NA NA 3433 391 476 NA NA NA NA NA 1242 237 407 NA NA NA NA NA
1520722800.0 108.0 80 104 383 NA NA NA NA NA 168 184 474 NA NA NA NA NA 3748 408 566 NA NA NA NA NA 1354 236 417 NA NA NA NA NA
1520722800.0 11.0 NA 107 408 0 56 NA NA NA NA 207 495 0 95 NA NA NA NA 1523 815 396 20 NA NA NA NA 535 517 404 27 NA NA NA
1520722800.0 110.0 51 96 361 NA NA NA NA NA 99 188 462 NA NA NA NA NA 604 345 424 NA NA NA NA NA 359 222 392 NA NA NA NA NA
1520722800.0 1102.0 NA 102 388 122 64 NA NA NA NA 216 479 181 114 NA NA NA NA 2391 2297 1302 248 NA NA NA NA 762 900 449 104 NA NA NA
1520722800.0 111.0 84 95 370 NA NA NA NA NA 152 190 453 NA NA NA NA NA 1792 339 475 NA NA NA NA NA 751 226 418 NA NA NA NA NA
1520722800.0 112.0 79 96 367 NA NA NA NA NA 159 186 453 NA NA NA NA NA 2778 405 476 NA NA NA NA NA 1029 235 412 NA NA NA NA NA
1520722800.0 113.0 81 91 369 NA NA NA NA NA 162 187 466 NA NA NA NA NA 2997 394 562 NA NA NA NA NA 1147 227 457 NA NA NA NA NA
1520722800.0 114.0 72 100 380 NA NA NA NA NA 172 191 457 NA NA NA NA NA 2914 387 478 NA NA NA NA NA 1043 230 399 NA NA NA NA NA
1520722800.0 115.0 82 101 391 NA NA NA NA NA 166 192 478 NA NA NA NA NA 3068 402 522 NA NA NA NA NA 1137 228 433 NA NA NA NA NA
1520722800.0 116.0 76 93 370 NA NA NA NA NA 163 193 444 NA NA NA NA NA 3402 403 503 NA NA NA NA NA 1332 231 411 NA NA NA NA NA
1520722800.0 117.0 78 93 374 NA NA NA NA NA 162 191 466 NA NA NA NA NA 3325 409 537 NA NA NA NA NA 1186 230 417 NA NA NA NA NA
1520722800.0 118.0 80 103 376 NA NA NA NA NA 161 208 463 NA NA NA NA NA 3845 414 542 NA NA NA NA NA 1293 238 422 NA NA NA NA NA
1520722800.0 119.0 76 98 370 NA NA NA NA NA 163 191 453 NA NA NA NA NA 2494 381 468 NA NA NA NA NA 963 253 456 NA NA NA NA NA
1520722800.0 12.0 NA 109 378 0 NA NA NA NA NA 227 474 0 NA NA NA NA NA 1901 1674 425 NA NA NA NA NA 652 725 444 NA NA NA NA
