Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1521021600.0 10807.0 224 365 86 0 483 475 136 0 1370 1675 361 1772 1415 1769 453 1843
1521021600.0 10823.0 226 364 83 0 470 476 124 0 1274 1583 328 1775 1221 1640 400 1856
1521021600.0 10824.0 246 369 88 0 471 492 134 0 1432 1876 364 1818 1551 1807 546 1880
1521021600.0 10825.0 224 362 74 0 476 497 124 0 1307 1746 339 1795 1313 2057 415 1866
1521021600.0 10842.0 238 365 86 0 468 494 134 0 1315 1751 349 1807 1950 1904 414 1885
1521021600.0 10859.0 260 389 89 0 470 504 134 0 1519 2589 422 1822 1342 2101 405 1900
1521021600.0 10871.0 247 375 94 0 476 496 134 0 1377 1955 355 1815 1177 2166 495 1895
1521021600.0 11224.0 239 372 0 NA 469 507 0 NA 1401 1786 1868 NA 1626 1669 1942 NA
1521021600.0 4000.0 125 287 NA NA 377 373 NA NA 2777 4641 NA NA 1219 3041 NA NA
