Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1519380000.0 1.0 106 95 200 NA NA NA NA 195 352 289 NA NA NA NA 2064 733 1290 NA NA NA NA 1354 1182 2155 NA NA NA NA
1519380000.0 10.0 NA 133 305 0 NA NA NA NA 361 403 0 NA NA NA NA 2937 3810 615 NA NA NA NA 1988 2369 875 NA NA NA
1519380000.0 1000.0 NA 317 187 0 54 NA NA NA 389 252 0 92 NA NA NA 3488 1639 915 429 NA NA NA 4005 1463 1058 591 NA NA
1519380000.0 10001.0 NA 117 318 81 0 NA NA NA 372 459 116 0 NA NA NA 520 1429 228 1040 NA NA NA 1164 1487 333 1111 NA NA
1519380000.0 10002.0 NA 114 326 81 0 NA NA NA 372 451 115 0 NA NA NA 693 1499 292 1011 NA NA NA 930 1716 313 1130 NA NA
1519380000.0 10003.0 NA 119 321 79 0 NA NA NA 372 454 115 0 NA NA NA 484 1443 220 1029 NA NA NA 664 1499 322 1165 NA NA
1519380000.0 10004.0 NA 115 319 71 0 NA NA NA 372 456 115 0 NA NA NA 467 1410 304 1014 NA NA NA 476 1606 328 1099 NA NA
1519380000.0 10005.0 NA 114 321 80 0 NA NA NA 372 452 116 0 NA NA NA 512 1440 306 1030 NA NA NA 590 1718 350 1109 NA NA
1519380000.0 10006.0 NA 109 319 80 0 NA NA NA 372 441 116 0 NA NA NA 521 1419 225 993 NA NA NA 846 2227 327 1106 NA NA
1519380000.0 10007.0 NA 107 321 71 0 NA NA NA 372 451 116 0 NA NA NA 609 1455 367 1026 NA NA NA 898 2448 421 1192 NA NA
1519380000.0 10008.0 NA 115 321 78 0 NA NA NA 372 441 117 0 NA NA NA 706 1475 312 1014 NA NA NA 931 1764 341 1080 NA NA
1519380000.0 10009.0 NA 118 322 81 0 NA NA NA 372 454 116 0 NA NA NA 538 1474 316 1030 NA NA NA 633 1495 391 1236 NA NA
1519380000.0 1001.0 NA 265 102 0 0 0 0 NA 333 151 0 0 0 0 NA 2939 547 95 105 412 182 NA 3513 789 200 192 518 286
1519380000.0 1002.0 NA 305 84 NA NA NA NA NA 375 126 NA NA NA NA NA 4525 514 NA NA NA NA NA 3281 493 NA NA NA NA
1519380000.0 10023.0 NA 118 319 77 0 NA NA NA 372 453 115 0 NA NA NA 482 1386 730 1018 NA NA NA 479 1524 1156 1094 NA NA
1519380000.0 10024.0 NA 127 339 82 0 NA NA NA 372 469 117 0 NA NA NA 555 1681 307 1019 NA NA NA 468 1614 369 1109 NA NA
1519380000.0 10024.1 NA 133 195 0 NA NA NA NA 372 287 0 NA NA NA NA 558 667 302 NA NA NA NA 533 726 442 NA NA NA
1519380000.0 10024.2 NA 126 339 0 NA NA NA NA 372 457 0 NA NA NA NA 682 1684 1011 NA NA NA NA 639 1776 1073 NA NA NA
1519380000.0 10024.3 NA 132 189 0 NA NA NA NA 372 275 0 NA NA NA NA 558 689 256 NA NA NA NA 411 751 451 NA NA NA
1519380000.0 10024.4 NA 133 342 0 NA NA NA NA 372 462 0 NA NA NA NA 573 1652 983 NA NA NA NA 570 1575 1041 NA NA NA
1519380000.0 10024.5 NA 132 94 0 NA NA NA NA 372 188 0 NA NA NA NA 556 351 108 NA NA NA NA 436 451 211 NA NA NA
1519380000.0 10025.0 NA 125 326 73 0 NA NA NA 372 464 116 0 NA NA NA 513 1521 362 1043 NA NA NA 453 1795 518 1203 NA NA
1519380000.0 10026.0 NA 132 346 83 0 NA NA NA 372 482 117 0 NA NA NA 674 1919 323 1038 NA NA NA 827 1729 411 1308 NA NA
1519380000.0 1003.0 NA 258 0 NA NA NA NA NA 331 0 NA NA NA NA NA 3932 711 NA NA NA NA NA 2140 884 NA NA NA NA
1519380000.0 1004.0 NA 218 88 0 0 NA NA NA 301 129 0 0 NA NA NA 1363 468 110 119 NA NA NA 2142 622 246 223 NA NA
1519380000.0 10042.0 NA 123 326 73 0 NA NA NA 372 455 117 0 NA NA NA 519 1528 290 1067 NA NA NA 784 1775 317 1296 NA NA
1519380000.0 10059.0 NA 129 337 76 0 NA NA NA 372 472 117 0 NA NA NA 722 2129 232 1033 NA NA NA 862 1738 340 1120 NA NA
1519380000.0 10071.0 NA 127 333 76 0 NA NA NA 372 471 117 0 NA NA NA 548 1646 316 1041 NA NA NA 830 1611 352 1143 NA NA
1519380000.0 101.0 88 NA NA NA NA NA NA 156 NA NA NA NA NA NA 957 NA NA NA NA NA NA 1454 NA NA NA NA NA NA
1519380000.0 1010.0 NA 30 39 0 NA NA NA NA 76 89 0 NA NA NA NA 125 213 101 NA NA NA NA 214 264 152 NA NA NA
1519380000.0 102.0 91 NA NA NA NA NA NA 155 NA NA NA NA NA NA 767 NA NA NA NA NA NA 1158 NA NA NA NA NA NA
1519380000.0 1020.0 NA 46 NA NA NA NA NA NA 122 NA NA NA NA NA NA 255 NA NA NA NA NA NA 389 NA NA NA NA NA
1519380000.0 10224.0 NA 295 603 0 NA NA NA NA 404 772 0 NA NA NA NA 2676 3572 1039 NA NA NA NA 2546 2829 1098 NA NA NA
1519380000.0 10225.0 NA 288 560 0 NA NA NA NA 416 732 0 NA NA NA NA 2602 3270 1034 NA NA NA NA 2389 2588 1090 NA NA NA
1519380000.0 103.0 55 0 0 NA NA NA NA 95 0 0 NA NA NA NA 896 258 1162 NA NA NA NA 695 325 1370 NA NA NA NA
1519380000.0 1030.0 NA 181 46 0 NA NA NA NA 315 90 0 NA NA NA NA 11727 349 98 NA NA NA NA 3967 415 282 NA NA NA
1519380000.0 10424.0 NA 129 337 0 NA NA NA NA 372 469 0 NA NA NA NA 592 1603 1040 NA NA NA NA 655 1697 1111 NA NA NA
1519380000.0 105.0 89 97 38 NA NA NA NA 195 353 68 NA NA NA NA 1594 457 125 NA NA NA NA 1303 586 191 NA NA NA NA
1519380000.0 106.0 47 0 0 NA NA NA NA 95 0 0 NA NA NA NA 722 231 1137 NA NA NA NA 854 471 1476 NA NA NA NA
1519380000.0 107.0 108 97 266 NA NA NA NA 197 353 368 NA NA NA NA 3458 610 1518 NA NA NA NA 1876 1271 2312 NA NA NA NA
1519380000.0 108.0 109 102 270 NA NA NA NA 197 347 368 NA NA NA NA 3965 537 1644 NA NA NA NA 1886 648 2050 NA NA NA NA
1519380000.0 10801.0 NA 206 348 73 0 NA NA NA 463 484 122 0 NA NA NA 1380 1747 626 1776 NA NA NA 1709 2687 1024 1926 NA NA
1519380000.0 10802.0 NA 226 348 79 0 NA NA NA 463 475 123 0 NA NA NA 1417 1807 516 1852 NA NA NA 2182 3274 1221 2028 NA NA
1519380000.0 10803.0 NA 239 354 73 0 NA NA NA 463 453 123 0 NA NA NA 1418 1860 427 1848 NA NA NA 2028 3502 974 2082 NA NA
1519380000.0 10804.0 NA 206 356 74 0 NA NA NA 464 477 124 0 NA NA NA 1396 1799 409 1939 NA NA NA 1968 2941 1336 2124 NA NA
1519380000.0 10805.0 NA 224 352 76 0 NA NA NA 463 479 122 0 NA NA NA 1403 1801 481 1849 NA NA NA 2161 2899 638 1934 NA NA
1519380000.0 10806.0 NA 225 347 77 0 NA NA NA 463 476 123 0 NA NA NA 1376 1809 391 1837 NA NA NA 2007 3510 587 2213 NA NA
1519380000.0 10807.0 NA 198 355 88 0 NA NA NA 463 473 134 0 NA NA NA 1456 1840 436 1922 NA NA NA 1796 4031 923 2056 NA NA
1519380000.0 10808.0 NA 195 349 87 0 NA NA NA 463 476 135 0 NA NA NA 1437 1940 440 1938 NA NA NA 1802 3702 887 2224 NA NA
1519380000.0 10809.0 NA 228 349 88 0 NA NA NA 461 479 133 0 NA NA NA 1369 1890 444 1926 NA NA NA 2192 3746 931 2128 NA NA
1519380000.0 10823.0 NA 215 347 76 0 NA NA NA 463 481 124 0 NA NA NA 1452 1750 370 1910 NA NA NA 2501 2009 561 2021 NA NA
1519380000.0 10824.0 NA 255 360 89 0 NA NA NA 464 488 136 0 NA NA NA 1567 2022 432 1958 NA NA NA 2456 3610 1123 2111 NA NA
1519380000.0 10824.1 NA 224 197 0 NA NA NA NA 463 269 0 NA NA NA NA 1605 791 299 NA NA NA NA 1910 1257 372 NA NA NA
1519380000.0 10824.5 NA 226 92 0 NA NA NA NA 462 201 0 NA NA NA NA 1548 467 123 NA NA NA NA 2250 972 263 NA NA NA
1519380000.0 10824.6 NA 247 364 96 0 NA NA NA 464 487 136 0 NA NA NA 1500 2145 626 1965 NA NA NA 1437 3600 1100 2114 NA NA
1519380000.0 10825.0 NA 230 355 77 0 NA NA NA 464 490 124 0 NA NA NA 1397 1896 393 1884 NA NA NA 1892 3815 870 2357 NA NA
