Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1519423200.0 1020.0 NA 47 NA NA 127 NA NA 319 NA NA 530 NA
1519423200.0 120.0 76 92 255 143 354 356 864 435 1260 736 601 3357
1519423200.0 1361.17 0 NA NA 0 NA NA 768 NA NA 540 NA NA
1519423200.0 250407.0 280 0 121 506 0 193 2114 361 995 2287 673 1526
1519423200.0 511.0 46 0 NA 83 0 NA 10369 130 NA 12225 350 NA
