Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1519466400.0 106.0 43 0 0 85 0 0 360 116 928 507 209 1159
1519466400.0 1325.6 NA 82 NA NA 136 NA NA 2710 NA NA 4572 NA
1519466400.0 4008.0 56 91 234 107 143 317 964 389 1973 1529 669 2780
1519466400.0 500199.0 121 NA NA 174 NA NA 2036 NA NA 2488 NA NA
1519466400.0 531.0 58 0 NA 178 0 NA 162 112 NA 243 198 NA
