Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1519423200.0 101.0 83 NA NA NA NA 153 NA NA NA NA 1003 NA NA NA NA 1486 NA NA NA NA
1519423200.0 1020.0 NA 36 NA NA NA NA 108 NA NA NA NA 361 NA NA NA NA 1348 NA NA NA
1519423200.0 10801.0 NA 217 616 82 0 NA 456 763 128 0 NA 1798 2834 457 2159 NA 2111 4230 829 2454
1519423200.0 250199.18 353 NA NA NA NA 528 NA NA NA NA 8856 NA NA NA NA 31632 NA NA NA NA
1519423200.0 511.0 47 0 NA NA NA 83 0 NA NA NA 9214 115 NA NA NA 13177 578 NA NA NA
1519423200.0 561.0 40 0 NA NA NA 78 0 NA NA NA 247 197 NA NA NA 374 1043 NA NA NA
