Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520071200.0 1.0 90 88 162 NA NA NA NA NA 184 366 255 NA NA NA NA NA 2255 601 1087 NA NA NA NA NA 1883 552 2040 NA NA NA NA NA
1520071200.0 10.0 NA 121 431 0 NA NA NA NA NA 374 512 0 NA NA NA NA NA 2519 3372 547 NA NA NA NA NA 2167 2289 628 NA NA NA NA
1520071200.0 1000.0 NA 410 154 0 45 NA NA NA NA 486 248 0 87 NA NA NA NA 3061 1539 722 302 NA NA NA NA 4168 2587 1146 495 NA NA NA
1520071200.0 10001.0 NA 220 531 86 0 NA NA NA NA 465 778 133 0 NA NA NA NA 2022 4181 509 2652 NA NA NA NA 3651 29283 759 2939 NA NA NA
1520071200.0 10002.0 NA 223 586 84 0 NA NA NA NA 464 774 133 0 NA NA NA NA 1998 3859 432 2507 NA NA NA NA 3569 21293 4812 2760 NA NA NA
1520071200.0 10003.0 NA 224 623 93 0 NA NA NA NA 479 769 134 0 NA NA NA NA 2050 2464 553 2598 NA NA NA NA 3669 2454 714 2954 NA NA NA
1520071200.0 10004.0 NA 217 510 83 0 NA NA NA NA 483 776 133 0 NA NA NA NA 1998 4255 498 1882 NA NA NA NA 3611 29629 745 2037 NA NA NA
1520071200.0 10005.0 NA 215 535 83 0 NA NA NA NA 474 747 133 0 NA NA NA NA 1956 4186 701 2214 NA NA NA NA 3546 28762 830 2484 NA NA NA
1520071200.0 10006.0 NA 215 624 83 0 NA NA NA NA 480 774 133 0 NA NA NA NA 2000 2449 513 2820 NA NA NA NA 3631 2735 592 3218 NA NA NA
1520071200.0 10007.0 NA 218 625 95 0 NA NA NA NA 465 777 143 0 NA NA NA NA 2061 2421 542 2661 NA NA NA NA 3664 2599 634 3027 NA NA NA
1520071200.0 10008.0 NA 219 530 94 0 NA NA NA NA 464 778 144 0 NA NA NA NA 2048 4337 505 1865 NA NA NA NA 3658 29242 734 1921 NA NA NA
1520071200.0 10009.0 NA 220 507 94 0 NA NA NA NA 465 781 143 0 NA NA NA NA 2067 4432 510 2500 NA NA NA NA 3574 32735 763 2756 NA NA NA
1520071200.0 1001.0 NA 363 183 0 0 0 0 0 NA 448 230 0 0 0 0 0 NA 2658 699 86 101 266 139 268 NA 4206 2067 393 205 356 249 345
1520071200.0 1002.0 NA 380 77 NA NA NA NA NA NA 478 122 NA NA NA NA NA NA 3082 470 NA NA NA NA NA NA 2349 386 NA NA NA NA NA
1520071200.0 10023.0 NA 218 536 92 0 NA NA NA NA 465 749 133 0 NA NA NA NA 1998 4350 512 1853 NA NA NA NA 3617 28814 788 2148 NA NA NA
1520071200.0 10024.0 NA 239 641 96 0 NA NA NA NA 472 797 146 0 NA NA NA NA 2285 2668 546 2694 NA NA NA NA 3749 2473 725 2923 NA NA NA
1520071200.0 10024.1 NA 240 271 0 NA NA NA NA NA 479 368 0 NA NA NA NA NA 1611 903 328 NA NA NA NA NA 2048 1249 453 NA NA NA NA
1520071200.0 10024.2 NA 222 643 0 NA NA NA NA NA 466 791 0 NA NA NA NA NA 1772 2515 1968 NA NA NA NA NA 2827 2646 2051 NA NA NA NA
1520071200.0 10024.3 NA 242 248 0 NA NA NA NA NA 474 345 0 NA NA NA NA NA 1672 866 299 NA NA NA NA NA 1947 1012 398 NA NA NA NA
1520071200.0 10024.4 NA 233 647 0 NA NA NA NA NA 471 797 0 NA NA NA NA NA 1742 2525 2038 NA NA NA NA NA 3432 2305 2185 NA NA NA NA
1520071200.0 10024.5 NA 240 270 0 NA NA NA NA NA 473 347 0 NA NA NA NA NA 1550 898 339 NA NA NA NA NA 2119 1093 405 NA NA NA NA
1520071200.0 10024.6 NA 246 643 0 NA NA NA NA NA 464 789 0 NA NA NA NA NA 1603 2565 1963 NA NA NA NA NA 1959 2741 2078 NA NA NA NA
