Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520287200.0 1.0 97 87 164 NA NA NA NA NA 184 365 258 NA NA NA NA NA 1627 438 781 NA NA NA NA NA 1410 450 1585 NA NA NA NA NA
1520287200.0 10.0 NA 120 426 0 NA NA NA NA NA 366 518 0 NA NA NA NA NA 2196 3072 507 NA NA NA NA NA 1721 2261 1685 NA NA NA NA
1520287200.0 1000.0 NA 393 156 0 47 NA NA NA NA 509 246 0 88 NA NA NA NA 2635 1295 581 244 NA NA NA NA 3059 2528 798 475 NA NA NA
1520287200.0 10001.0 NA 202 627 94 0 NA NA NA NA 462 769 134 0 NA NA NA NA 1698 2467 426 2053 NA NA NA NA 2264 3371 710 2155 NA NA NA
1520287200.0 10002.0 NA 205 552 87 0 NA NA NA NA 472 784 133 0 NA NA NA NA 1767 2844 424 2069 NA NA NA NA 2318 6188 684 2249 NA NA NA
1520287200.0 10003.0 NA 221 626 94 0 NA NA NA NA 474 777 133 0 NA NA NA NA 1526 2555 423 2059 NA NA NA NA 1726 2789 512 2155 NA NA NA
1520287200.0 10004.0 NA 215 625 92 0 NA NA NA NA 473 774 134 0 NA NA NA NA 1600 2417 412 2044 NA NA NA NA 2950 2859 548 2150 NA NA NA
1520287200.0 10005.0 NA 202 494 83 0 NA NA NA NA 470 775 132 0 NA NA NA NA 1775 2807 426 1993 NA NA NA NA 2316 6188 648 2108 NA NA NA
1520287200.0 10006.0 NA 214 612 84 0 NA NA NA NA 474 765 132 0 NA NA NA NA 1503 2531 433 2032 NA NA NA NA 1740 3861 675 2142 NA NA NA
1520287200.0 10007.0 NA 217 522 104 0 NA NA NA NA 466 776 143 0 NA NA NA NA 1528 2598 440 2398 NA NA NA NA 1726 3395 549 3596 NA NA NA
1520287200.0 10008.0 NA 203 625 100 0 NA NA NA NA 472 748 143 0 NA NA NA NA 1804 2521 453 2088 NA NA NA NA 2316 3371 683 2247 NA NA NA
1520287200.0 10009.0 NA 206 627 98 0 NA NA NA NA 472 779 142 0 NA NA NA NA 1818 2638 448 2107 NA NA NA NA 2328 5328 714 2716 NA NA NA
1520287200.0 1001.0 NA 360 178 0 0 0 0 0 NA 441 229 0 0 0 0 0 NA 2299 457 67 82 224 114 253 NA 3438 609 125 172 293 217 526
1520287200.0 1002.0 NA 383 77 NA NA NA NA NA NA 479 122 NA NA NA NA NA NA 2588 410 NA NA NA NA NA NA 1900 341 NA NA NA NA NA
1520287200.0 10023.0 NA 218 518 74 0 NA NA NA NA 466 776 132 0 NA NA NA NA 1508 2632 484 2045 NA NA NA NA 2013 3931 1463 2165 NA NA NA
1520287200.0 10024.0 NA 242 652 103 0 NA NA NA NA 469 784 144 0 NA NA NA NA 1690 2729 454 2095 NA NA NA NA 1836 2612 544 2269 NA NA NA
1520287200.0 10024.1 NA 239 269 0 NA NA NA NA NA 477 367 0 NA NA NA NA NA 1411 868 298 NA NA NA NA NA 1577 1082 348 NA NA NA NA
1520287200.0 10024.2 NA 215 644 0 NA NA NA NA NA 475 794 0 NA NA NA NA NA 1447 2209 1672 NA NA NA NA NA 2687 2115 1755 NA NA NA NA
1520287200.0 10024.3 NA 226 252 0 NA NA NA NA NA 472 344 0 NA NA NA NA NA 1534 751 267 NA NA NA NA NA 1925 782 360 NA NA NA NA
1520287200.0 10024.4 NA 235 636 0 NA NA NA NA NA 474 764 0 NA NA NA NA NA 1494 2207 1720 NA NA NA NA NA 1698 2101 1800 NA NA NA NA
1520287200.0 10024.5 NA 240 270 0 NA NA NA NA NA 472 353 0 NA NA NA NA NA 1443 766 291 NA NA NA NA NA 1608 790 353 NA NA NA NA
1520287200.0 10024.6 NA 217 639 0 NA NA NA NA NA 466 795 0 NA NA NA NA NA 1401 2135 1619 NA NA NA NA NA 1627 1925 1674 NA NA NA NA
1520287200.0 10025.0 NA 203 632 85 0 NA NA NA NA 480 783 133 0 NA NA NA NA 1406 2026 405 1664 NA NA NA NA 2223 3717 959 1984 NA NA NA
1520287200.0 10026.0 NA 222 523 103 0 NA NA NA NA 470 797 144 0 NA NA NA NA 1535 3065 402 1654 NA NA NA NA 2271 3508 590 1738 NA NA NA
1520287200.0 1003.0 NA 315 0 NA NA NA NA NA NA 408 0 NA NA NA NA NA NA 2956 445 NA NA NA NA NA NA 2650 727 NA NA NA NA NA
1520287200.0 1004.0 NA 310 161 0 0 0 0 NA NA 418 211 0 0 0 0 NA NA 934 324 68 88 228 238 NA NA 1792 1120 266 227 432 665 NA
1520287200.0 10042.0 NA 228 636 99 0 NA NA NA NA 473 783 145 0 NA NA NA NA 1317 2031 364 1695 NA NA NA NA 1624 1925 426 1819 NA NA NA
