Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520373600.0 1.0 94 83 170 NA NA NA NA NA 184 358 246 NA NA NA NA NA 3166 618 1194 NA NA NA NA NA 3478 759 1666 NA NA NA NA NA
1520373600.0 10.0 NA 121 425 0 NA NA NA NA NA 385 534 0 NA NA NA NA NA 4036 5907 1085 NA NA NA NA NA 3774 3578 1266 NA NA NA NA
1520373600.0 1000.0 NA 392 152 0 45 NA NA NA NA 508 247 0 88 NA NA NA NA 4133 1906 1034 396 NA NA NA NA 5172 5049 2074 658 NA NA NA
1520373600.0 10001.0 NA 196 625 83 0 NA NA NA NA 479 775 132 0 NA NA NA NA 1302 1833 325 1653 NA NA NA NA 1614 2573 539 2039 NA NA NA
1520373600.0 10002.0 NA 198 628 84 0 NA NA NA NA 472 755 132 0 NA NA NA NA 1371 1881 336 1561 NA NA NA NA 1611 3983 647 1628 NA NA NA
1520373600.0 10003.0 NA 207 559 85 0 NA NA NA NA 472 785 134 0 NA NA NA NA 1225 1949 338 1579 NA NA NA NA 1608 2250 489 1832 NA NA NA
1520373600.0 10004.0 NA 214 628 83 0 NA NA NA NA 474 775 132 0 NA NA NA NA 1166 1853 323 1602 NA NA NA NA 2141 2548 530 1707 NA NA NA
1520373600.0 10005.0 NA 194 NA NA NA NA NA NA NA 465 NA NA NA NA NA NA NA 1363 NA NA NA NA NA NA NA 1651 NA NA NA NA NA NA
1520373600.0 10006.0 NA 214 573 88 0 NA NA NA NA 467 751 133 0 NA NA NA NA 1211 1889 335 1714 NA NA NA NA 1501 2180 427 2115 NA NA NA
1520373600.0 10007.0 NA 220 620 99 0 NA NA NA NA 474 777 144 0 NA NA NA NA 1227 1877 350 1725 NA NA NA NA 1568 2105 473 1832 NA NA NA
1520373600.0 10008.0 NA 196 622 96 0 NA NA NA NA 468 766 144 0 NA NA NA NA 1372 1878 346 1606 NA NA NA NA 1653 2916 637 2340 NA NA NA
