Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1519423200.0 1.0 97 93 170 NA 196 354 301 NA 1539 620 982 NA 2305 911 1212 NA
1519423200.0 10824.5 NA 247 99 0 NA 465 199 0 NA 1673 549 220 NA 2374 1426 553
1519423200.0 136.7721 NA 163 0 NA NA 238 0 NA NA 2226 117 NA NA 2650 255 NA
1519423200.0 136.7803 NA 93 NA NA NA 157 NA NA NA 670 NA NA NA 2494 NA NA
1519423200.0 1360.0 0 NA NA NA 0 NA NA NA 1043 NA NA NA 943 NA NA NA
