Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1519768800.0 105.0 100 85 31 NA NA NA NA 185 361 64 NA NA NA NA 1752 640 131 NA NA NA NA 1420 1264 272 NA NA NA NA
1519768800.0 106.0 44 0 0 NA NA NA NA 91 0 0 NA NA NA NA 972 250 1227 NA NA NA NA 1086 486 1759 NA NA NA NA
1519768800.0 107.0 100 95 262 NA NA NA NA 188 361 348 NA NA NA NA 3801 614 1522 NA NA NA NA 2607 567 1894 NA NA NA NA
1519768800.0 108.0 103 97 276 NA NA NA NA 185 368 361 NA NA NA NA 4145 671 1605 NA NA NA NA 2515 681 1844 NA NA NA NA
1519768800.0 10801.0 NA 224 349 73 0 NA NA NA 476 466 122 0 NA NA NA 1526 1930 691 1970 NA NA NA 2444 5005 1366 2414 NA NA
1519768800.0 10802.0 NA 224 350 73 0 NA NA NA 476 490 122 0 NA NA NA 1542 2129 730 2560 NA NA NA 1935 4826 1474 2870 NA NA
1519768800.0 10803.0 NA 214 353 74 0 NA NA NA 483 471 123 0 NA NA NA 1504 1991 902 1970 NA NA NA 2441 3728 2035 2311 NA NA
1519768800.0 10804.0 NA 215 344 73 0 NA NA NA 476 480 123 0 NA NA NA 1449 2151 388 1950 NA NA NA 2454 3436 622 2081 NA NA
1519768800.0 10805.0 NA 226 347 73 0 NA NA NA 480 472 123 0 NA NA NA 1457 2265 384 1984 NA NA NA 2277 4027 716 2125 NA NA
1519768800.0 10806.0 NA 214 326 75 0 NA NA NA 475 499 122 0 NA NA NA 1513 1927 641 1943 NA NA NA 1985 3533 1272 2204 NA NA
1519768800.0 10807.0 NA 222 350 84 0 NA NA NA 477 497 134 0 NA NA NA 1565 2111 501 2346 NA NA NA 2627 4076 920 2726 NA NA
1519768800.0 10808.0 NA 226 328 87 0 NA NA NA 475 499 134 0 NA NA NA 1433 2011 432 1958 NA NA NA 1916 3533 607 2091 NA NA
1519768800.0 10809.0 NA 219 351 83 0 NA NA NA 475 472 133 0 NA NA NA 1543 2344 517 1969 NA NA NA 2017 3646 1181 2114 NA NA
1519768800.0 10823.0 NA 215 359 76 0 NA NA NA 483 472 122 0 NA NA NA 1542 1970 518 1967 NA NA NA 2070 3690 616 2118 NA NA
1519768800.0 10824.0 NA 243 360 86 0 NA NA NA 484 487 134 0 NA NA NA 1597 2228 552 2018 NA NA NA 1789 4107 1633 2171 NA NA
1519768800.0 10824.1 NA 221 189 0 NA NA NA NA 475 292 0 NA NA NA NA 2026 827 313 NA NA NA NA 2678 1030 388 NA NA NA
1519768800.0 10824.5 NA 241 86 0 NA NA NA NA 478 184 0 NA NA NA NA 2040 470 131 NA NA NA NA 2487 1463 251 NA NA NA
1519768800.0 10824.6 NA 241 364 86 0 NA NA NA 478 483 134 0 NA NA NA 1645 2302 557 1996 NA NA NA 2066 4002 1092 2181 NA NA
