Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1520722800.0 109.0 55 78 164 NA NA 98 142 221 NA NA 8036 830 1367 NA NA 8119 865 1413 NA NA
1520722800.0 12.0 NA 72 168 0 NA NA 138 221 0 NA NA 3439 4404 1121 NA NA 3513 4471 1157 NA
1520722800.0 121.0 52 75 165 NA NA 96 142 221 NA NA 7356 785 1250 NA NA 7481 823 1305 NA NA
1520722800.0 1309.0 NA 124 203 0 NA NA 186 268 0 NA NA 1439 2146 2875 NA NA 1588 2295 2907 NA
1520722800.0 1311.0 NA 123 190 0 46 NA 181 251 0 83 NA 1197 1753 3067 195 NA 1349 2169 3101 295
1520722800.0 1312.0 NA 126 204 0 NA NA 185 263 0 NA NA 1396 2163 2907 NA NA 1531 2281 2933 NA
1520722800.0 1314.0 NA 142 202 0 NA NA 191 268 0 NA NA 1553 2350 2789 NA NA 1669 2626 2828 NA
1520722800.0 1328.0 NA 123 203 0 NA NA 182 265 0 NA NA 1353 1869 2882 NA NA 1469 2015 2913 NA
1520722800.0 133.0 53 76 164 NA NA 98 142 222 NA NA 8982 843 1429 NA NA 9088 872 1490 NA NA
1520722800.0 1330.0 NA 123 204 0 NA NA 183 264 0 NA NA 1370 1953 2892 NA NA 1499 2093 2924 NA
1520722800.0 1334.0 NA 122 204 0 NA NA 183 265 0 NA NA 1403 2065 2800 NA NA 1545 2219 2832 NA
1520722800.0 1336.0 NA 132 206 0 NA NA 188 268 0 NA NA 2173 3844 2799 NA NA 2306 3991 2839 NA
1520722800.0 1337.0 NA 136 202 0 NA NA 187 268 0 NA NA 1529 2341 2723 NA NA 1645 2618 2766 NA
1520722800.0 1338.0 NA 138 204 0 NA NA 184 267 0 NA NA 1448 2276 2785 NA NA 1556 2641 2824 NA
1520722800.0 134.702 NA 92 191 0 NA NA 144 255 0 NA NA 1173 7216 931 NA NA 1613 8083 998 NA
1520722800.0 134.703 NA 92 192 0 NA NA 147 270 0 NA NA 1212 7268 983 NA NA 1649 8112 1008 NA
1520722800.0 134.704 NA 91 198 0 NA NA 146 258 0 NA NA 1054 6641 1071 NA NA 1254 6862 1141 NA
1520722800.0 1340.0 NA 139 203 0 NA NA 188 270 0 NA NA 1271 1917 4161 NA NA 1397 2271 4207 NA
1520722800.0 1344.0 NA 123 200 0 NA NA 183 263 0 NA NA 1374 2070 2836 NA NA 1564 2212 2861 NA
1520722800.0 1345.0 NA 122 206 0 NA NA 184 264 0 NA NA 1403 2101 2820 NA NA 1549 2341 2851 NA
1520722800.0 135.11 182 0 90 NA NA 249 0 136 NA NA 2450 318 569 NA NA 2606 335 665 NA NA
1520722800.0 1351.0 NA 127 202 0 NA NA 185 267 0 NA NA 1274 1925 3628 NA NA 1424 2103 3665 NA
1520722800.0 1355.0 NA 127 206 0 NA NA 186 267 0 NA NA 1383 2139 2826 NA NA 1676 2392 2854 NA
1520722800.0 14.0 NA 70 166 0 NA NA 138 221 0 NA NA 3338 3411 1008 NA NA 3464 3492 1041 NA
1520722800.0 2.0 52 73 115 NA NA 96 142 165 NA NA 7407 851 973 NA NA 7481 882 1009 NA NA
1520722800.0 250200.0 NA 180 231 0 NA NA 240 303 0 NA NA 9800 3069 1371 NA NA 10962 3588 1413 NA
1520722800.0 250202.0 NA 187 237 0 NA NA 245 312 0 NA NA 11872 4083 1504 NA NA 13153 4645 1527 NA
1520722800.0 250203.0 NA 184 228 0 NA NA 247 300 0 NA NA 10637 3134 1557 NA NA 16466 3362 1581 NA
