Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520722800.0 1.0 109 94 156 NA NA NA NA NA 185 360 234 NA NA NA NA NA 1798 395 259 NA NA NA NA NA 1260 275 389 NA NA NA NA NA
1520722800.0 10.0 NA 122 503 0 NA NA NA NA NA 377 580 0 NA NA NA NA NA 2309 2270 406 NA NA NA NA NA 1483 1087 419 NA NA NA NA
1520722800.0 1000.0 NA 476 158 0 51 NA NA NA NA 579 249 0 92 NA NA NA NA 2639 1060 559 127 NA NA NA NA 1479 1220 589 153 NA NA NA
1520722800.0 10001.0 NA 219 656 89 0 NA NA NA NA 480 807 134 0 NA NA NA NA 488 865 181 1247 NA NA NA NA 731 1291 276 1301 NA NA NA
1520722800.0 10002.0 NA 212 375 82 0 NA NA NA NA 489 811 134 0 NA NA NA NA 573 1306 173 1275 NA NA NA NA 546 5878 235 1317 NA NA NA
1520722800.0 10003.0 NA 219 656 83 0 NA NA NA NA 474 818 132 0 NA NA NA NA 587 916 164 1274 NA NA NA NA 572 1268 266 1291 NA NA NA
1520722800.0 10004.0 NA 212 595 82 0 NA NA NA NA 481 809 133 0 NA NA NA NA 545 962 173 1303 NA NA NA NA 586 1270 276 1330 NA NA NA
1520722800.0 10005.0 NA 218 665 91 0 NA NA NA NA 474 818 133 0 NA NA NA NA 514 881 164 1271 NA NA NA NA 564 761 205 1289 NA NA NA
1520722800.0 10006.0 NA 215 656 82 0 NA NA NA NA 483 817 132 0 NA NA NA NA 500 861 179 1260 NA NA NA NA 763 928 255 1283 NA NA NA
1520722800.0 10007.0 NA 210 NA NA NA NA NA NA NA 489 NA NA NA NA NA NA NA 607 NA NA NA NA NA NA NA 568 NA NA NA NA NA NA
1520722800.0 10008.0 NA 221 559 91 0 NA NA NA NA 489 818 143 0 NA NA NA NA 539 1045 198 1313 NA NA NA NA 437 2699 296 2228 NA NA NA
1520722800.0 10009.0 NA 211 598 93 0 NA NA NA NA 483 816 143 0 NA NA NA NA 618 1029 191 1300 NA NA NA NA 573 2565 267 1912 NA NA NA
1520722800.0 1001.0 NA 447 384 0 0 0 0 0 NA 533 462 0 0 0 0 0 NA 2420 601 10 29 341 28 369 NA 1293 576 19 35 349 35 377
1520722800.0 1002.0 NA 472 70 NA NA NA NA NA NA 555 124 NA NA NA NA NA NA 2240 284 NA NA NA NA NA NA 1094 178 NA NA NA NA NA
1520722800.0 10023.0 NA 191 542 91 0 NA NA NA NA 489 812 133 0 NA NA NA NA 554 992 164 1280 NA NA NA NA 541 1380 205 1317 NA NA NA
1520722800.0 10024.0 NA 241 665 102 0 NA NA NA NA 481 835 144 0 NA NA NA NA 721 1200 193 1305 NA NA NA NA 594 984 238 2009 NA NA NA
1520722800.0 10024.1 NA 225 270 0 NA NA NA NA NA 482 374 0 NA NA NA NA NA 705 413 209 NA NA NA NA NA 1667 374 320 NA NA NA NA
1520722800.0 10024.2 NA 246 661 0 NA NA NA NA NA 482 836 0 NA NA NA NA NA 680 1214 1302 NA NA NA NA NA 568 1245 1335 NA NA NA NA
1520722800.0 10024.3 NA 245 255 0 NA NA NA NA NA 481 356 0 NA NA NA NA NA 693 388 167 NA NA NA NA NA 723 384 176 NA NA NA NA
1520722800.0 10024.4 NA 240 680 0 NA NA NA NA NA 481 836 0 NA NA NA NA NA 732 1264 1327 NA NA NA NA NA 633 1034 1363 NA NA NA NA
1520722800.0 10024.5 NA 231 271 0 NA NA NA NA NA 482 364 0 NA NA NA NA NA 1151 548 235 NA NA NA NA NA 1387 503 244 NA NA NA NA
1520722800.0 10024.6 NA 229 671 0 NA NA NA NA NA 482 835 0 NA NA NA NA NA 1010 1393 1537 NA NA NA NA NA 1091 1093 2143 NA NA NA NA
1520722800.0 10025.0 NA 225 668 91 0 NA NA NA NA 483 823 133 0 NA NA NA NA 860 1367 225 1524 NA NA NA NA 753 1137 294 1562 NA NA NA
1520722800.0 10026.0 NA 244 679 101 0 NA NA NA NA 486 835 144 0 NA NA NA NA 1085 1727 259 1521 NA NA NA NA 1129 1236 274 1556 NA NA NA
1520722800.0 1003.0 NA 408 0 NA NA NA NA NA NA 509 0 NA NA NA NA NA NA 3335 467 NA NA NA NA NA NA 1670 506 NA NA NA NA NA
1520722800.0 1004.0 NA 352 359 0 0 0 0 NA NA 443 444 0 0 0 0 NA NA 742 359 8 25 360 340 NA NA 1338 332 13 34 375 354 NA
