Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1520460000.0 1.0 89 87 139 NA NA NA NA 184 360 235 NA NA NA NA 1658 341 248 NA NA NA NA 1807 273 383 NA NA NA NA
1520460000.0 10.0 NA 121 498 0 NA NA NA NA 377 593 0 NA NA NA NA 2437 2093 358 NA NA NA NA 1315 947 369 NA NA NA
1520460000.0 1000.0 NA 497 159 0 52 NA NA NA 575 249 0 91 NA NA NA 2158 930 511 148 NA NA NA 1143 672 817 262 NA NA
1520460000.0 10001.0 NA 223 587 82 0 NA NA NA 481 809 134 0 NA NA NA 589 1195 205 1393 NA NA NA 662 2154 308 2550 NA NA
1520460000.0 10002.0 NA 217 579 90 0 NA NA NA 474 813 133 0 NA NA NA 695 1216 194 1374 NA NA NA 924 2234 263 1403 NA NA
1520460000.0 10003.0 NA 221 548 82 0 NA NA NA 482 810 134 0 NA NA NA 768 1261 207 1387 NA NA NA 965 2415 324 2783 NA NA
1520460000.0 10004.0 NA 214 657 91 0 NA NA NA 489 817 133 0 NA NA NA 594 1077 198 1420 NA NA NA 1042 1160 270 1456 NA NA
1520460000.0 10005.0 NA 217 657 91 0 NA NA NA 482 817 134 0 NA NA NA 571 974 184 1409 NA NA NA 486 846 230 1478 NA NA
1520460000.0 10006.0 NA 222 482 81 0 NA NA NA 474 815 132 0 NA NA NA 574 1196 204 1405 NA NA NA 613 2091 282 1441 NA NA
1520460000.0 10007.0 NA 220 524 92 0 NA NA NA 481 811 143 0 NA NA NA 725 1274 228 1387 NA NA NA 926 2462 303 1416 NA NA
1520460000.0 10008.0 NA 216 656 99 0 NA NA NA 489 818 143 0 NA NA NA 618 1459 217 1429 NA NA NA 1354 1999 280 1456 NA NA
1520460000.0 10009.0 NA 217 454 92 0 NA NA NA 488 820 144 0 NA NA NA 754 1399 228 1409 NA NA NA 967 3469 353 1442 NA NA
1520460000.0 1001.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1520460000.0 1002.0 NA 466 72 NA NA NA NA NA 558 124 NA NA NA NA NA 1983 299 NA NA NA NA NA 1093 208 NA NA NA NA
1520460000.0 10023.0 NA 218 539 87 0 NA NA NA 481 812 133 0 NA NA NA 603 1285 188 1374 NA NA NA 721 2312 222 1393 NA NA
1520460000.0 10024.0 NA 245 681 102 0 NA NA NA 483 840 145 0 NA NA NA 865 1382 208 1475 NA NA NA 687 1181 246 1529 NA NA
1520460000.0 10024.1 NA 176 273 0 NA NA NA NA 481 362 0 NA NA NA NA 1200 470 224 NA NA NA NA 1584 434 232 NA NA NA
1520460000.0 10024.2 NA 177 673 0 NA NA NA NA 474 836 0 NA NA NA NA 1085 1312 1396 NA NA NA NA 1583 964 1447 NA NA NA
1520460000.0 10024.3 NA 211 248 0 NA NA NA NA 489 342 0 NA NA NA NA 1181 458 191 NA NA NA NA 1343 425 210 NA NA NA
1520460000.0 10024.4 NA 244 NA NA NA NA NA NA 488 NA NA NA NA NA NA 803 NA NA NA NA NA NA 815 NA NA NA NA NA
1520460000.0 10024.5 NA 222 273 0 NA NA NA NA 489 373 0 NA NA NA NA 841 476 242 NA NA NA NA 811 462 251 NA NA NA
1520460000.0 10024.6 NA 224 673 0 NA NA NA NA 482 835 0 NA NA NA NA 971 1263 1412 NA NA NA NA 638 909 1444 NA NA NA
1520460000.0 10025.0 NA 232 669 87 0 NA NA NA 491 822 133 0 NA NA NA 708 1147 196 1404 NA NA NA 458 886 245 1465 NA NA
1520460000.0 10026.0 NA 229 685 91 0 NA NA NA 488 836 133 0 NA NA NA 938 1534 203 1471 NA NA NA 718 1149 267 1980 NA NA
1520460000.0 1003.0 NA 404 0 NA NA NA NA NA 504 0 NA NA NA NA NA 2449 432 NA NA NA NA NA 1079 1005 NA NA NA NA
1520460000.0 1004.0 NA 323 362 0 0 0 0 NA 450 446 0 0 0 0 NA 797 358 7 23 420 440 NA 1428 368 14 32 426 455
1520460000.0 10042.0 NA 207 668 93 0 NA NA NA 489 819 143 0 NA NA NA 830 1122 214 1441 NA NA NA 573 869 261 1472 NA NA
1520460000.0 10059.0 NA 230 687 92 0 NA NA NA 485 841 142 0 NA NA NA 892 1782 203 1421 NA NA NA 669 1119 224 1442 NA NA
1520460000.0 10071.0 NA 228 675 98 0 NA NA NA 467 832 143 0 NA NA NA 803 1306 221 1466 NA NA NA 490 943 256 2070 NA NA
1520460000.0 101.0 82 NA NA NA NA NA NA 150 NA NA NA NA NA NA 823 NA NA NA NA NA NA 858 NA NA NA NA NA NA
1520460000.0 1010.0 NA 24 70 0 NA NA NA NA 74 122 0 NA NA NA NA 12 93 26 NA NA NA NA 79 116 34 NA NA NA
1520460000.0 102.0 84 NA NA NA NA NA NA 151 NA NA NA NA NA NA 619 NA NA NA NA NA NA 669 NA NA NA NA NA NA
1520460000.0 1020.0 NA 41 NA NA NA NA NA NA 111 NA NA NA NA NA NA 47 NA NA NA NA NA NA 65 NA NA NA NA NA
1520460000.0 10224.0 NA 340 937 0 NA NA NA NA 519 1157 0 NA NA NA NA 4900 5227 1467 NA NA NA NA 16612 2606 1503 NA NA NA
1520460000.0 10225.0 NA 333 912 0 NA NA NA NA 541 1143 0 NA NA NA NA 3933 4896 1482 NA NA NA NA 14238 2541 1710 NA NA NA
1520460000.0 103.0 43 0 0 NA NA NA NA 90 0 0 NA NA NA NA 672 179 309 NA NA NA NA 438 78 663 NA NA NA NA
1520460000.0 1030.0 NA 156 42 0 NA NA NA NA 248 83 0 NA NA NA NA 1594 46 1 NA NA NA NA 817 36 7 NA NA NA
1520460000.0 10424.0 NA 244 676 0 NA NA NA NA 482 829 0 NA NA NA NA 744 1229 1462 NA NA NA NA 473 1065 1492 NA NA NA
1520460000.0 105.0 90 83 31 NA NA NA NA 185 361 67 NA NA NA NA 1674 544 8 NA NA NA NA 864 347 19 NA NA NA NA
1520460000.0 106.0 43 0 0 NA NA NA NA 90 0 0 NA NA NA NA 617 190 304 NA NA NA NA 418 103 465 NA NA NA NA
