Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520118000.0 1.0 96 85 170 NA NA NA NA NA 186 368 278 NA NA NA NA NA 1780 626 871 NA NA NA NA NA 1677 1025 1476 NA NA NA NA NA
1520118000.0 10.0 NA 125 282 0 NA NA NA NA NA 370 388 0 NA NA NA NA NA 2244 2873 469 NA NA NA NA NA 980 2732 625 NA NA NA NA
1520118000.0 1000.0 NA 273 165 0 46 NA NA NA NA 383 250 0 89 NA NA NA NA 2377 1189 563 245 NA NA NA NA 3317 2078 790 301 NA NA NA
1520118000.0 10001.0 NA 110 188 75 0 NA NA NA NA 380 476 111 0 NA NA NA NA 573 1683 263 1086 NA NA NA NA 1494 3456 533 1218 NA NA NA
1520118000.0 10002.0 NA 108 230 65 0 NA NA NA NA 387 451 111 0 NA NA NA NA 533 1707 311 1065 NA NA NA NA 1127 3331 476 1235 NA NA NA
1520118000.0 10003.0 NA 109 295 64 0 NA NA NA NA 387 451 111 0 NA NA NA NA 557 1619 364 1073 NA NA NA NA 1623 3940 719 1438 NA NA NA
1520118000.0 10004.0 NA 109 328 65 0 NA NA NA NA 387 446 111 0 NA NA NA NA 573 1501 435 1079 NA NA NA NA 670 2648 1124 1248 NA NA NA
1520118000.0 10005.0 NA 107 197 71 0 NA NA NA NA 380 456 111 0 NA NA NA NA 524 1653 235 1084 NA NA NA NA 1290 3464 486 1392 NA NA NA
1520118000.0 10006.0 NA 113 318 65 0 NA NA NA NA 387 449 110 0 NA NA NA NA 482 1548 379 1075 NA NA NA NA 458 2846 899 1319 NA NA NA
1520118000.0 10007.0 NA 109 327 74 0 NA NA NA NA 387 454 112 0 NA NA NA NA 608 1560 316 1086 NA NA NA NA 828 2956 537 1385 NA NA NA
1520118000.0 10008.0 NA 121 308 65 0 NA NA NA NA 387 454 112 0 NA NA NA NA 504 1628 314 1077 NA NA NA NA 1487 2322 393 1361 NA NA NA
1520118000.0 10009.0 NA 113 275 74 0 NA NA NA NA 387 455 111 0 NA NA NA NA 504 1677 233 1073 NA NA NA NA 550 2439 406 1315 NA NA NA
1520118000.0 1001.0 NA 241 108 0 0 0 0 0 NA 322 158 0 0 0 0 0 NA 2179 596 60 98 210 110 206 NA 3071 1004 240 238 260 172 256
1520118000.0 1002.0 NA 279 71 NA NA NA NA NA NA 359 122 NA NA NA NA NA NA 2524 352 NA NA NA NA NA NA 2149 247 NA NA NA NA NA
1520118000.0 10023.0 NA 114 291 64 0 NA NA NA NA 388 447 111 0 NA NA NA NA 492 1600 546 1068 NA NA NA NA 707 2324 653 1327 NA NA NA
1520118000.0 10024.0 NA 125 341 70 0 NA NA NA NA 388 462 113 0 NA NA NA NA 583 1814 242 1119 NA NA NA NA 496 3100 367 1464 NA NA NA
1520118000.0 10024.1 NA 127 182 0 NA NA NA NA NA 387 271 0 NA NA NA NA NA 637 758 323 NA NA NA NA NA 622 941 624 NA NA NA NA
1520118000.0 10024.2 NA 129 337 0 NA NA NA NA NA 388 462 0 NA NA NA NA NA 588 1924 1090 NA NA NA NA NA 777 2705 1218 NA NA NA NA
1520118000.0 10024.3 NA 120 171 0 NA NA NA NA NA 380 257 0 NA NA NA NA NA 635 706 258 NA NA NA NA NA 956 814 420 NA NA NA NA
1520118000.0 10024.4 NA 132 344 0 NA NA NA NA NA 387 465 0 NA NA NA NA NA 586 2016 1075 NA NA NA NA NA 761 3350 1283 NA NA NA NA
1520118000.0 10024.5 NA 125 76 0 NA NA NA NA NA 387 164 0 NA NA NA NA NA 587 346 112 NA NA NA NA NA 510 550 402 NA NA NA NA
1520118000.0 10025.0 NA 120 332 70 0 NA NA NA NA 387 456 111 0 NA NA NA NA 555 1736 244 1108 NA NA NA NA 792 2588 527 1306 NA NA NA
1520118000.0 10026.0 NA 128 350 69 0 NA NA NA NA 387 476 113 0 NA NA NA NA 649 2202 333 1108 NA NA NA NA 1286 2620 394 1353 NA NA NA
1520118000.0 1003.0 NA 233 0 NA NA NA NA NA NA 328 0 NA NA NA NA NA NA 2541 419 NA NA NA NA NA NA 1791 510 NA NA NA NA NA
1520118000.0 1004.0 NA 207 98 0 0 0 0 NA NA 282 141 0 0 0 0 NA NA 792 295 61 92 202 203 NA NA 2699 461 180 169 253 237 NA
1520118000.0 10042.0 NA 117 333 69 0 NA NA NA NA 380 457 113 0 NA NA NA NA 533 1652 252 1105 NA NA NA NA 755 2523 481 1199 NA NA NA
1520118000.0 10059.0 NA 125 341 71 0 NA NA NA NA 380 475 113 0 NA NA NA NA 647 2422 335 1105 NA NA NA NA 790 2713 556 1309 NA NA NA
1520118000.0 10071.0 NA 124 288 75 0 NA NA NA NA 388 488 112 0 NA NA NA NA 556 1819 367 1112 NA NA NA NA 578 2458 1147 1271 NA NA NA
1520118000.0 101.0 84 NA NA NA NA NA NA NA 154 NA NA NA NA NA NA NA 1238 NA NA NA NA NA NA NA 1468 NA NA NA NA NA NA NA
1520118000.0 1010.0 NA 28 42 0 NA NA NA NA NA 72 85 0 NA NA NA NA NA 91 154 108 NA NA NA NA NA 429 252 196 NA NA NA NA
1520118000.0 102.0 84 NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA 1011 NA NA NA NA NA NA NA 1235 NA NA NA NA NA NA NA
1520118000.0 1020.0 NA 44 NA NA NA NA NA NA NA 108 NA NA NA NA NA NA NA 208 NA NA NA NA NA NA NA 402 NA NA NA NA NA NA
1520118000.0 10224.0 NA 267 568 0 NA NA NA NA NA 410 813 0 NA NA NA NA NA 2554 3878 1116 NA NA NA NA NA 2348 3516 1281 NA NA NA NA
1520118000.0 10225.0 NA 270 521 0 NA NA NA NA NA 417 787 0 NA NA NA NA NA 2562 3569 1187 NA NA NA NA NA 2780 3890 1395 NA NA NA NA
1520118000.0 103.0 44 0 0 NA NA NA NA NA 92 0 0 NA NA NA NA NA 961 343 1571 NA NA NA NA NA 1015 544 2161 NA NA NA NA NA
1520118000.0 1030.0 NA 167 45 0 NA NA NA NA NA 315 84 0 NA NA NA NA NA 7152 213 54 NA NA NA NA NA 3714 623 346 NA NA NA NA
1520118000.0 10424.0 NA 126 337 0 NA NA NA NA NA 387 462 0 NA NA NA NA NA 967 2521 1446 NA NA NA NA NA 1368 3880 1640 NA NA NA NA
1520118000.0 105.0 101 91 31 NA NA NA NA NA 186 369 65 NA NA NA NA NA 2164 559 154 NA NA NA NA NA 1396 517 248 NA NA NA NA NA
1520118000.0 106.0 43 0 0 NA NA NA NA NA 92 0 0 NA NA NA NA NA 1017 390 1493 NA NA NA NA NA 1197 479 1791 NA NA NA NA NA
1520118000.0 107.0 93 94 262 NA NA NA NA NA 188 369 355 NA NA NA NA NA 4697 625 1880 NA NA NA NA NA 4334 561 2095 NA NA NA NA NA
1520118000.0 108.0 104 95 261 NA NA NA NA NA 189 369 359 NA NA NA NA NA 5443 709 2107 NA NA NA NA NA 3203 668 2329 NA NA NA NA NA
1520118000.0 10801.0 NA 216 356 79 0 NA NA NA NA 476 503 124 0 NA NA NA NA 1947 2460 527 2158 NA NA NA NA 3296 3171 1061 2269 NA NA NA
1520118000.0 10802.0 NA 225 354 74 0 NA NA NA NA 483 473 123 0 NA NA NA NA 1879 2473 674 2351 NA NA NA NA 2803 3324 1043 2660 NA NA NA
1520118000.0 10803.0 NA 199 359 80 0 NA NA NA NA 476 480 123 0 NA NA NA NA 1874 2507 629 2416 NA NA NA NA 2516 3798 923 2931 NA NA NA
1520118000.0 10804.0 NA 219 353 74 0 NA NA NA NA 476 474 123 0 NA NA NA NA 1812 2417 554 2376 NA NA NA NA 2890 3222 719 2916 NA NA NA
1520118000.0 10805.0 NA 216 349 81 0 NA NA NA NA 475 482 122 0 NA NA NA NA 1866 2509 646 2247 NA NA NA NA 2727 4029 1112 2377 NA NA NA
1520118000.0 10806.0 NA 221 322 72 0 NA NA NA NA 472 501 123 0 NA NA NA NA 1815 2583 644 2330 NA NA NA NA 3157 3960 949 2523 NA NA NA
1520118000.0 10807.0 NA 222 262 85 0 NA NA NA NA 470 486 134 0 NA NA NA NA 1898 2801 522 2344 NA NA NA NA 3505 4736 1118 2581 NA NA NA
1520118000.0 10808.0 NA 225 357 84 0 NA NA NA NA 469 468 134 0 NA NA NA NA 1964 2641 490 2572 NA NA NA NA 2941 3983 866 2884 NA NA NA
1520118000.0 10809.0 NA 225 329 85 0 NA NA NA NA 477 483 132 0 NA NA NA NA 1888 2726 541 2330 NA NA NA NA 3347 4007 1020 2579 NA NA NA
1520118000.0 10823.0 NA 218 349 81 0 NA NA NA NA 477 483 123 0 NA NA NA NA 1895 2539 624 2272 NA NA NA NA 2720 4047 928 2568 NA NA NA
1520118000.0 10824.0 NA 221 361 90 0 NA NA NA NA 476 497 134 0 NA NA NA NA 2114 2785 568 2473 NA NA NA NA 2512 3947 1552 2790 NA NA NA
1520118000.0 10824.1 NA 241 186 0 NA NA NA NA NA 485 284 0 NA NA NA NA NA 1952 988 417 NA NA NA NA NA 2105 1236 571 NA NA NA NA
1520118000.0 10824.5 NA 235 90 0 NA NA NA NA NA 484 172 0 NA NA NA NA NA 1980 510 138 NA NA NA NA NA 2160 685 198 NA NA NA NA
1520118000.0 10824.6 NA 242 328 86 0 NA NA NA NA 476 520 135 0 NA NA NA NA 2047 2971 499 2518 NA NA NA NA 4103 4145 760 2975 NA NA NA
1520118000.0 10825.0 NA 231 362 75 0 NA NA NA NA 478 491 123 0 NA NA NA NA 1846 2612 584 2409 NA NA NA NA 3109 3977 949 2961 NA NA NA
1520118000.0 10826.0 NA 231 366 86 0 NA NA NA NA 477 500 133 0 NA NA NA NA 2148 3000 500 2307 NA NA NA NA 3248 4686 709 2456 NA NA NA
1520118000.0 10842.0 NA 233 344 87 0 NA NA NA NA 478 486 134 0 NA NA NA NA 1934 2656 499 2463 NA NA NA NA 2830 3760 740 2837 NA NA NA
1520118000.0 10859.0 NA 266 349 91 0 NA NA NA NA 469 511 134 0 NA NA NA NA 2190 3958 539 2503 NA NA NA NA 2888 4831 1055 2804 NA NA NA
1520118000.0 10871.0 NA 239 350 85 0 NA NA NA NA 477 505 133 0 NA NA NA NA 2088 2807 620 2451 NA NA NA NA 4329 3989 978 2947 NA NA NA
1520118000.0 109.0 99 100 257 NA NA NA NA NA 187 361 369 NA NA NA NA NA 5579 688 2149 NA NA NA NA NA 2767 869 2861 NA NA NA NA NA
1520118000.0 11.0 NA 118 260 0 58 NA NA NA NA 387 379 0 102 NA NA NA NA 2076 1458 522 191 NA NA NA NA 1464 1751 646 878 NA NA NA
1520118000.0 110.0 66 84 253 NA NA NA NA NA 133 361 360 NA NA NA NA NA 1290 687 1761 NA NA NA NA NA 1283 812 1918 NA NA NA NA NA
1520118000.0 1102.0 NA 123 288 133 73 NA NA NA NA 377 390 209 165 NA NA NA NA 2426 3577 1498 301 NA NA NA NA 1699 2130 1139 234 NA NA NA
